"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.74990661001537e-30,0.35648392735151,0.777,0.414,3.56856331833172e-25,"Dendritic cells","COX6C"
1.08082539281561e-29,0.442588236838537,0.419,0.15,3.9559290202444e-25,"Dendritic cells","STK3"
1.08381424494383e-29,0.284661553107795,0.581,0.276,3.9668685179189e-25,"Dendritic cells","ARF4"
1.08615567148829e-29,0.930963041413673,0.412,0.127,3.97543837321429e-25,"Dendritic cells","UBA1"
1.089342415973e-29,0.319425020205526,0.818,0.463,3.98710217670279e-25,"Dendritic cells","TMBIM6"
1.09068446384819e-29,0.764306460932042,0.466,0.169,3.99201420613076e-25,"Dendritic cells","NOP10"
1.09191623005641e-29,1.1925624767912,0.338,0.081,3.99652259362945e-25,"Dendritic cells","SMDT1"
1.128926793867e-29,0.489302693182998,0.466,0.185,4.1319849582326e-25,"Dendritic cells","PLP2"
1.20490362362206e-29,0.414237326122695,0.399,0.152,4.41006775281911e-25,"Dendritic cells","ITPK1"
1.23565226463778e-29,0.298709486532427,0.446,0.189,4.52261085380075e-25,"Dendritic cells","SASH3"
1.30044235319607e-29,0.444953515887463,0.392,0.143,4.75974905693292e-25,"Dendritic cells","SMC1A"
1.30969627274442e-29,0.337639253931814,0.351,0.136,4.79361932787185e-25,"Dendritic cells","PRMT1"
1.31569962123689e-29,0.310628260347632,0.723,0.375,4.81559218368913e-25,"Dendritic cells","XYLT1"
1.31768019505985e-29,2.41779994122399,0.432,0.079,4.82284128193854e-25,"Dendritic cells","ID1"
1.36545511297918e-29,1.01919842696442,0.459,0.145,4.9977022590151e-25,"Dendritic cells","ATP6V1F"
1.37405875803435e-29,0.994744259402537,0.453,0.13,5.02919246028153e-25,"Dendritic cells","EPB41L3"
1.3743144398231e-29,0.256696243032134,0.426,0.177,5.03012828119652e-25,"Dendritic cells","TES"
1.41891302000841e-29,0.770097693376933,0.318,0.09,5.19336354453276e-25,"Dendritic cells","AK2"
1.4917899506155e-29,0.400247544105237,0.541,0.243,5.46010039824778e-25,"Dendritic cells","VPS28"
1.53258482887628e-29,0.762497312758288,0.338,0.1,5.60941373217006e-25,"Dendritic cells","SSR3"
1.55939153077486e-29,0.446657750975836,0.615,0.287,5.70752894178908e-25,"Dendritic cells","NCKAP1L"
1.5865615604423e-29,0.399905322914242,0.432,0.176,5.80697396737485e-25,"Dendritic cells","AUP1"
1.6652743474961e-29,1.3871057227042,0.345,0.074,6.09507063927047e-25,"Dendritic cells","PPP1R14B"
1.78185094137253e-29,0.295810686048816,0.426,0.183,6.5217526305176e-25,"Dendritic cells","MKRN1"
1.82632788227744e-29,0.425568165049385,0.811,0.418,6.68454268192367e-25,"Dendritic cells","CMIP"
1.90480229870878e-29,0.490288722111873,0.419,0.156,6.971766893504e-25,"Dendritic cells","OTUB1"
2.16859038904659e-29,0.37796681414513,0.419,0.17,7.93725768294943e-25,"Dendritic cells","SNRPD3"
